,rating,en,en_href,dinner_price,lunch_price,holiday,area_genre
0,4.30,Bon.nu,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",-,"參宮橋車站 / 法式料理, 蛋糕"
1,4.03,AIGRE DOUCE,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"目白車站 / 蛋糕, 馬卡龍"
2,3.99,a tes souhaits!,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/,～JPY 999,～JPY 999,星期一、星期二,"西荻窪車站 / 蛋糕, 甜點"
3,3.98,L'Atelier à Ma Façon,https://tabelog.com/tw/tokyo/A1317/A131715/13242556/,"JPY 4,000～JPY 4,999","JPY 4,000～JPY 4,999",-,"上野毛車站 / 甜點, 咖啡店"
4,3.97,Patisserie Ryoko,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/,-,～JPY 999,星期一、星期二、星期三、星期四,"高輪台車站 / 蛋糕, 泡芙, 西式甜點"
5,3.96,GELATERIA ACQUOLINA,https://tabelog.com/tw/tokyo/A1317/A131701/13141364/,-,～JPY 999,星期一、星期二,"祐天寺車站 / 意式冰淇淋/冰淇淋, 霜淇淋"
6,3.96,Ikkou An,https://tabelog.com/tw/tokyo/A1323/A132302/13005076/,-,～JPY 999,星期一、星期二、星期日,茗荷谷車站 / 日式點心
7,3.95,patisserie Paris S'eveille,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期四,"自由丘車站 / 蛋糕, 咖啡店, 麵包"
8,3.95,Avranches Guesnay,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"春日車站 / 蛋糕, 巧克力"
9,3.94,Frederic Cassel Ginza Mitsukoshi Ten,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/,-,"JPY 2,000～JPY 2,999",-,"銀座車站 / 蛋糕, 甜點, 巧克力"
10,3.94,Au Bon Vieux Temps Oyamadai Ten,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期二、星期三,"尾山台車站 / 蛋糕, 小菜, 咖啡店"
11,3.93,Ryoura,https://tabelog.com/tw/tokyo/A1317/A131707/13188208/,"JPY 3,000～JPY 3,999",-,星期二、星期三,"用賀車站 / 蛋糕, 西式甜點"
12,3.93,patisserie K.ViNCENT,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/,"JPY 10,000～JPY 14,999",-,-,"飯田橋車站 / 蛋糕, 巧克力, 西式甜點"
13,3.92,Gelateria Sincerita,https://tabelog.com/tw/tokyo/A1319/A131905/13108556/,～JPY 999,～JPY 999,-,"阿佐谷車站 / 意式冰淇淋/冰淇淋, 咖啡店"
14,3.92,Nihonbashi Nagato,https://tabelog.com/tw/tokyo/A1302/A130202/13011481/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日、節假日,日本橋車站 / 日式點心
15,3.92,LESS by Gabriele Riva & Kanako Sakakura,https://tabelog.com/tw/tokyo/A1303/A130302/13274859/,-,"JPY 2,000～JPY 2,999",星期三,"惠比壽車站 / 蛋糕, 巧克力"
16,3.91,Okashiya Ucchi,https://tabelog.com/tw/tokyo/A1309/A130901/13238644/,-,"JPY 5,000～JPY 5,999",-,"北參道車站 / 蛋糕, 西式甜點"
17,3.90,Patisserie Yu Sasage,https://tabelog.com/tw/tokyo/A1318/A131809/13155662/,-,～JPY 999,星期二、星期三,"千歲烏山車站 / 蛋糕, 麵包"
18,3.90,Think,https://tabelog.com/tw/tokyo/A1311/A131105/13283557/,-,-,星期一、星期二,"鶯谷車站 / 麵包, 西式甜點"
19,3.89,Usagiya,https://tabelog.com/tw/tokyo/A1311/A131101/13003599/,～JPY 999,～JPY 999,星期三,"上野廣小路車站 / 日式點心, 銅鑼燒"
20,3.89,ASTERISQUE,https://tabelog.com/tw/tokyo/A1318/A131811/13140735/,～JPY 999,～JPY 999,星期一、星期二,代代木上原車站 / 蛋糕
21,3.89,Curry Spice Gelateria KALPASI,https://tabelog.com/tw/tokyo/A1318/A131802/13247887/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期四,"下北澤車站 / 咖喱, 意式冰淇淋/冰淇淋, 亞洲・異國料理"
22,3.89,Boulangerie Sudo,https://tabelog.com/tw/tokyo/A1317/A131709/13098861/,～JPY 999,～JPY 999,星期一、星期二、星期三、星期四,"松陰神社前車站 / 麵包, 咖啡店, 甜點"
23,3.89,patisserie Plaisir,https://tabelog.com/tw/tokyo/A1317/A131706/13045491/,"JPY 1,000～JPY 1,999",-,-,"西太子堂車站 / 蛋糕, 咖啡店"
24,3.88,VIRON Shibuya Ten,https://tabelog.com/tw/tokyo/A1303/A130301/13004626/,～JPY 999,～JPY 999,-,"澀谷車站 / 麵包, 三明治, 蛋糕"
25,3.88,CHOCOLATIER PALET D’OR Tokyo,https://tabelog.com/tw/tokyo/A1302/A130201/13038473/,"JPY 2,000～JPY 2,999","JPY 3,000～JPY 3,999",-,"二重橋前車站 / 巧克力, 咖啡店, 蛋糕"
26,3.88,KEN'S CAFE TOKYO Sohon Ten,https://tabelog.com/tw/tokyo/A1304/A130402/13024643/,"JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",星期日、節假日,"新宿御苑前車站 / 巧克力, 蛋糕"
27,3.88,GAZTA,https://tabelog.com/tw/tokyo/A1316/A131602/13223261/,-,"JPY 1,000～JPY 1,999",星期一,白金高輪車站 / 蛋糕
28,3.87,The Peninsula Boutique & Cafe,https://tabelog.com/tw/tokyo/A1301/A130102/13043019/,-,"JPY 1,000～JPY 1,999",-,"日比谷車站 / 蛋糕, 咖啡店, 麵包"
29,3.87,A Cote Patisserie,https://tabelog.com/tw/tokyo/A1316/A131602/13051424/,-,"JPY 1,000～JPY 1,999",星期日,"白金台車站 / 西式甜點, 蛋糕, 巧克力"
30,3.86,Patisserie Satsuki,https://tabelog.com/tw/tokyo/A1308/A130803/13000178/,～JPY 999,～JPY 999,-,"麴町車站 / 蛋糕, 麵包"
31,3.86,Materiel,https://tabelog.com/tw/tokyo/A1322/A132203/13110008/,"JPY 1,000～JPY 1,999",～JPY 999,星期三、星期四,"大山車站 / 蛋糕, 咖啡店"
32,3.86,STYLE'S CAKES & CO. ,https://tabelog.com/tw/tokyo/A1310/A131003/13125138/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期六、星期日、節假日,神保町車站 / 蛋糕
33,3.86,Minimal Tomigaya Honten,https://tabelog.com/tw/tokyo/A1303/A130301/13175834/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"代代木八幡車站 / 巧克力, 蛋糕, 咖啡店"
34,3.86,Patisserie JUN UJITA,https://tabelog.com/tw/tokyo/A1317/A131702/13133033/,～JPY 999,～JPY 999,星期一、星期二,"都立大學車站 / 蛋糕, 咖啡店"
35,3.85,ATELIER KOHTA Kagurazaka Ten,https://tabelog.com/tw/tokyo/A1309/A130905/13136823/,-,"JPY 2,000～JPY 2,999",-,"神樂坂車站 / 蛋糕, 咖啡店"
36,3.85,Sucre-rie,https://tabelog.com/tw/tokyo/A1302/A130204/13050996/,～JPY 999,～JPY 999,星期日,"人形町車站 / 蛋糕, 甜點"
37,3.85,Shizuka Yogashi Ten Shizen Gashi Kenkyujo Ginza 5 Chome Ten,https://tabelog.com/tw/tokyo/A1301/A130101/13270326/,-,-,-,銀座車站 / 西式甜點
38,3.85,Blondir,https://tabelog.com/tw/tokyo/A1321/A132103/13184127/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",星期二、星期三,"石神井公園車站 / 蛋糕, 麵包"
39,3.84,LES CACAOS Hon Ten,https://tabelog.com/tw/tokyo/A1316/A131603/13203619/,～JPY 999,～JPY 999,星期二,"五反田車站 / 巧克力, 蛋糕, 西式甜點"
40,3.84,L'EPICURIEN,https://tabelog.com/tw/tokyo/A1320/A132001/13005891/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二、星期三、星期四、星期五,"吉祥寺車站 / 蛋糕, 咖啡店"
41,3.84,Jiman Kusamochi,https://tabelog.com/tw/tokyo/A1312/A131203/13002934/,～JPY 999,"JPY 1,000～JPY 1,999",星期三,"曳舟車站 / 日式點心, 日式甜點店, 銅鑼燒"
42,3.84,Echigoya Wakasa,https://tabelog.com/tw/tokyo/A1312/A131201/13046248/,-,-,星期日、節假日,濱町車站 / 日式點心
43,3.83,Gunrindo,https://tabelog.com/tw/tokyo/A1323/A132302/13003816/,-,～JPY 999,星期一、星期日,"護國寺車站 / 日式點心, 大福麻糬"
44,3.83,TORAYA TOKYO,https://tabelog.com/tw/tokyo/A1302/A130201/13147493/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",-,"東京車站 / 咖啡店, 日式點心, 剉冰"
45,3.83,Patisserie TRES CALME,https://tabelog.com/tw/tokyo/A1323/A132301/13175122/,"JPY 2,000～JPY 2,999",-,星期一,"千石車站 / 蛋糕, 馬卡龍, 麵包"
46,3.83,Miyabi An,https://tabelog.com/tw/tokyo/A1317/A131701/13073813/,-,～JPY 999,星期二,中目黑車站 / 日式點心
47,3.83,patissier Hiro Yamamoto,https://tabelog.com/tw/tokyo/A1312/A131205/13121679/,"JPY 1,000～JPY 1,999",-,星期二、星期三,"篠崎車站 / 蛋糕, 馬卡龍"
48,3.82,Taiyaki Wakaba,https://tabelog.com/tw/tokyo/A1309/A130902/13000848/,～JPY 999,～JPY 999,星期三、星期日,"四谷車站 / 鯛魚燒・大判燒, 咖啡店, 日式點心"
49,3.82,PIERRE HERME PARIS Aoyama,https://tabelog.com/tw/tokyo/A1306/A130602/13014316/,"JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",-,"表參道車站 / 蛋糕, 馬卡龍, 咖啡店"
50,3.82,PATISSERIE ASAKO IWAYANAGI,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/,"JPY 1,000～JPY 1,999",-,星期一、星期二,"等等力車站 / 蛋糕, 咖啡店"
51,3.82,French Gashi Patissier Chocolatier Inamura Shozo,https://tabelog.com/tw/tokyo/A1311/A131105/13047298/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二,"日暮里車站 / 蛋糕, 巧克力"
52,3.82,Tachibana,https://tabelog.com/tw/tokyo/A1301/A130103/13022189/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日、節假日,新橋車站 / 日式點心
53,3.82,Okashi Dokoro Sasama,https://tabelog.com/tw/tokyo/A1310/A131003/13000627/,～JPY 999,～JPY 999,星期日、節假日,神保町車站 / 日式點心
54,3.82,Addict au Sucre,https://tabelog.com/tw/tokyo/A1317/A131702/13171753/,～JPY 999,～JPY 999,星期二、星期三,"都立大學車站 / 蛋糕, 咖啡店, 麵包"
55,3.82,IL PLEUT SUR LA SEINE,https://tabelog.com/tw/tokyo/A1303/A130303/13001912/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一、星期二、星期三、星期四、星期日,代官山車站 / 蛋糕
56,3.81,Jikaseibaisen Coffee Mijinko,https://tabelog.com/tw/tokyo/A1310/A131002/13126204/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"湯島車站 / 咖啡店, 布丁"
57,3.81,Nata de Cristiano's,https://tabelog.com/tw/tokyo/A1318/A131810/13153384/,～JPY 999,～JPY 999,-,"代代木公園車站 / 甜點, 麵包, 蛋糕"
58,3.81,Chiba Ya,https://tabelog.com/tw/tokyo/A1311/A131102/13008691/,～JPY 999,～JPY 999,星期二,"淺草車站 / 烤地瓜/拔絲地瓜, 日式點心, 甜點"
59,3.81,La Maison du Chocolat Marunouchi Ten,https://tabelog.com/tw/tokyo/A1301/A130102/13000036/,-,"JPY 3,000～JPY 3,999",-,"有樂町車站 / 巧克力, 蛋糕, 咖啡店"
60,3.81,Patisserie　la　glycine,https://tabelog.com/tw/tokyo/A1317/A131705/13150993/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期一,"池尻大橋車站 / 蛋糕, 甜點"
61,3.80,Usagiya Hon Ten,https://tabelog.com/tw/tokyo/A1302/A130202/13003250/,-,～JPY 999,星期六、星期日,"日本橋車站 / 日式點心, 銅鑼燒"
62,3.80,BONNET D'ANE,https://tabelog.com/tw/tokyo/A1317/A131705/13158722/,"JPY 1,000～JPY 1,999",-,星期一、星期二、星期三,"三軒茶屋車站 / 麵包, 西式甜點, 三明治"
63,3.80,Laekker,https://tabelog.com/tw/tokyo/A1303/A130303/13243988/,～JPY 999,～JPY 999,-,"代官山車站 / 麵包, 西式甜點"
64,3.79,Kameju,https://tabelog.com/tw/tokyo/A1311/A131102/13003655/,-,～JPY 999,-,"淺草車站 / 日式點心, 銅鑼燒, 大福麻糬"
65,3.79,Echire Maison du Beurre,https://tabelog.com/tw/tokyo/A1302/A130201/13096439/,"JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",-,"二重橋前車站 / 蛋糕, 麵包, 意式冰淇淋/冰淇淋"
66,3.79,VIRON Marunouchi Ten,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"東京車站 / 麵包, 蛋糕, 咖啡店"
67,3.79,Taiyaki Hiiragi,https://tabelog.com/tw/tokyo/A1303/A130302/13026096/,～JPY 999,～JPY 999,-,"惠比壽車站 / 鯛魚燒・大判燒, 霜淇淋"
68,3.79,Toshi Yoroizuka Middo Taun,https://tabelog.com/tw/tokyo/A1307/A130701/13037382/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"六本木車站 / 蛋糕, 西式甜點"
69,3.79,Kuya,https://tabelog.com/tw/tokyo/A1301/A130101/13002591/,"JPY 1,000～JPY 1,999",-,星期日、節假日,銀座車站 / 日式點心
70,3.79,Mon St. Clair,https://tabelog.com/tw/tokyo/A1317/A131703/13003221/,"JPY 2,000～JPY 2,999",-,星期三,"自由丘車站 / 蛋糕, 馬卡龍, 麵包"
71,3.79,Suzumeya,https://tabelog.com/tw/tokyo/A1305/A130501/13009255/,-,～JPY 999,星期一、星期二、星期三、星期日,"池袋車站 / 日式點心, 銅鑼燒"
72,3.79,haritts Uehara Ten,https://tabelog.com/tw/tokyo/A1318/A131811/13023466/,～JPY 999,～JPY 999,星期日,"代代木上原車站 / 甜甜圈, 咖啡店, 西式甜點"
73,3.79,Le Pan de Joel Robuchon Shibuya Hikarieshinkyuesuten,https://tabelog.com/tw/tokyo/A1303/A130301/13140263/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"澀谷車站 / 麵包, 三明治, 西式甜點"
74,3.79,Matsushimaya,https://tabelog.com/tw/tokyo/A1314/A131403/13007137/,～JPY 999,～JPY 999,星期日,"泉岳寺車站 / 日式點心, 大福麻糬"
75,3.79,Mizuho,https://tabelog.com/tw/tokyo/A1306/A130601/13001154/,-,～JPY 999,-,"明治神宮前車站 / 日式點心, 大福麻糬"
76,3.79,ARCACHON Hon Ten,https://tabelog.com/tw/tokyo/A1321/A132103/13023168/,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",星期一、星期二,"保谷車站 / 蛋糕, 麵包, 咖啡店"
77,3.78,SIROTAE,https://tabelog.com/tw/tokyo/A1308/A130801/13002850/,-,"JPY 1,000～JPY 1,999",星期一、星期日,"赤坂見附車站 / 蛋糕, 咖啡店, 喫茶店"
78,3.78,Naniwaya Sohonten,https://tabelog.com/tw/tokyo/A1307/A130702/13002775/,-,～JPY 999,星期二、星期三,"麻布十番車站 / 日式甜點店, 鯛魚燒・大判燒, 炒麵"
79,3.78,Yanagiya,https://tabelog.com/tw/tokyo/A1302/A130204/13003065/,-,～JPY 999,星期一、星期日,"人形町車站 / 鯛魚燒・大判燒, 意式冰淇淋/冰淇淋"
80,3.78,La Boutique de Joël Robuchon Marunochi Burikkusukuea Ten,https://tabelog.com/tw/tokyo/A1302/A130201/13096409/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"二重橋前車站 / 麵包, 蛋糕, 咖啡店"
81,3.78,Kuromatsu Honpo Sogetsu,https://tabelog.com/tw/tokyo/A1323/A132304/13003793/,～JPY 999,～JPY 999,星期二,"東十條車站 / 日式點心, 銅鑼燒"
82,3.78,Waguri Ya Yanaka Ten,https://tabelog.com/tw/tokyo/A1311/A131106/13130539/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"千馱木車站 / 甜點, 咖啡店, 意式冰淇淋/冰淇淋"
83,3.78,noix de beurre Shinjuku Isetan Ten,https://tabelog.com/tw/tokyo/A1304/A130401/13124571/,～JPY 999,～JPY 999,-,"新宿三丁目車站 / 蛋糕, 巧克力"
84,3.78,Criollo Nakameguro Ten,https://tabelog.com/tw/tokyo/A1317/A131701/13077927/,"JPY 4,000～JPY 4,999",-,-,"中目黑車站 / 蛋糕, 巧克力, 馬卡龍"
85,3.78,Zuckerbäckerei Kayanuma,https://tabelog.com/tw/tokyo/A1308/A130802/13002756/,"JPY 3,000～JPY 3,999",-,星期一、星期日、節假日,"溜池山王車站 / 蛋糕, 西式甜點"
86,3.78,LA BOUTIQUE de Joel Rubchon Roppongi Hiruzu Ten,https://tabelog.com/tw/tokyo/A1307/A130701/13020237/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"六本木車站 / 麵包, 蛋糕"
87,3.78,Usagiya Chuo Tori Ten,https://tabelog.com/tw/tokyo/A1302/A130202/13041161/,～JPY 999,-,星期日,"日本橋車站 / 日式點心, 銅鑼燒"
88,3.78,MAISON D'AHNI,https://tabelog.com/tw/tokyo/A1316/A131602/13183428/,-,"JPY 1,000～JPY 1,999",星期二,"白金高輪車站 / 蛋糕, 麵包"
89,3.78,AU BON VIEUX TEMPS Nihonbashi Takashimaya Ten,https://tabelog.com/tw/tokyo/A1302/A130202/13023670/,～JPY 999,～JPY 999,-,"日本橋車站 / 蛋糕, 甜點, 小菜"
90,3.78,L’AUTOMNE Akitsu Honten,https://tabelog.com/tw/tokyo/A1328/A132806/13005967/,～JPY 999,～JPY 999,星期三,"新秋津車站 / 蛋糕, 馬卡龍, 西式甜點"
91,3.78,STAR BAR GINZA,https://tabelog.com/tw/tokyo/A1301/A130101/13002270/,-,-,-,"銀座一丁目車站 / 酒吧, 剉冰"
92,3.77,Himitsu Do,https://tabelog.com/tw/tokyo/A1311/A131106/13126796/,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",星期一,"日暮里車站 / 剉冰, 日式甜點店"
93,3.77,Fruit Parlour Goto,https://tabelog.com/tw/tokyo/A1311/A131102/13095672/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期四,"淺草車站 / 水果聖代, 咖啡店, 剉冰"
94,3.77,Seijuken,https://tabelog.com/tw/tokyo/A1302/A130204/13213772/,-,～JPY 999,星期六、星期日、節假日,"小傳馬町車站 / 日式點心, 銅鑼燒"
95,3.77,Patisserie Les Annees Folles Ebisu Honten,https://tabelog.com/tw/tokyo/A1303/A130302/13149501/,～JPY 999,～JPY 999,-,代官山車站 / 蛋糕
96,3.77,The Mandarin Oriental Gourmet Shop,https://tabelog.com/tw/tokyo/A1302/A130202/13022977/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"三越前車站 / 蛋糕, 巧克力"
97,3.77,CACAO SAMPAKA Marunochi Honten,https://tabelog.com/tw/tokyo/A1302/A130201/13096438/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",-,"二重橋前車站 / 巧克力, 霜淇淋"
98,3.77,Le Grenier à Pan Koji Chiyocho Ten,https://tabelog.com/tw/tokyo/A1308/A130803/13011374/,～JPY 999,～JPY 999,-,"半藏門車站 / 麵包, 三明治, 蛋糕"
99,3.77,LA BOUTIQUE de Joel Robushon Ebisu Garden Place Ten,https://tabelog.com/tw/tokyo/A1303/A130302/13014064/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"惠比壽車站 / 麵包, 蛋糕, 三明治"
